자치구,14'발생,14'검거율,15'발생,15'검거율,16'발생,16'검거율,17'발생,17'검거율,18'발생,18'검거율,19'발생,19'검거율,20'발생,20'검거율,21'발생,21'검거율,22'발생,22'검거율,14'cctv,15'cctv,16'cctv,17'cctv,18'cctv,19'cctv,20'cctv,21'cctv,22'cctv,14'인구,14'인구밀도 ,15'인구,15'인구밀도,16'인구,16'인구밀도,17'인구,17'인구밀도,18'인구,18'인구밀도,19'인구,19'인구밀도,20'인구,20'인구밀도,21'인구,21'인구밀도,22'인구,22'인구밀도,14'파출소현황,15'파출소현황,16'파출소현황,17'파출소현황,18'파출소현황,19'파출소현황,20'파출소현황,21'파출소현황,22'파출소현황,14'경찰관,15'경찰관,16'경찰관,17'경찰관,18'경찰관,19'경찰관,20'경찰관,21'경찰관,22'경찰관,14'행복지수,15'행복지수,16'행복지수,17'행복지수,18'행복지수,19'행복지수,20'행복지수,21'행복지수,22'행복지수,14'월간 음주율,15'월간 음주율,16'월간 음주율,17'월간 음주율,18'월간 음주율,19'월간 음주율,20'월간 음주율,21'월간 음주율,22'월간 음주율,14'우울감 경험률,15'우울감 경험률,16'우울감 경험률,17'우울감 경험률,18'우울감 경험률,19'우울감 경험률,20'우울감 경험률,21'우울감 경험률,22'우울감 경험률
종로구,5021,0.918143796,4705,0.941551541,4459,0.96389325,4057,1.09366527,3690,1.060433604,3846,1.070462819,3102,1.077691812,2712,1.015855457,3138,1.04652645,103,160,130,144,150,67,233,88,207,165344,6914,163822,6851,161922,6771,164257,6869,163026,6817,161869,6769,158996,6649,153789,6431,152211,6365,26,26,26,26,26,26,25,25,26,1083,1066,1135,1140,1150,1155,1131,1131,1080,6.9,6.85,6.88,7.23,6.59,7.18,6.46,6.23,6.9,55.7,60.2,60.1,59.5,52.6,57.9,52.1,49.3,53.4,9,10,6.9,5.3,5.3,3.2,5,5.1,8.7
중구,5231,0.609443701,4954,0.593863545,4584,0.669284468,4184,0.681405354,4030,0.664764268,4327,0.648024035,3411,0.681031955,2861,0.7242223,3071,0.690003256,77,236,240,372,386,155,361,403,137,136227,13677,134329,13486,134409,13494,134593,13514,135633,13618,136488,13704,134635,13517,131787,13231,130785,13131,20,20,21,20,20,20,20,20,19,985,957,1019,1029,1040,1040,1017,1021,1019,6.56,6.76,6.75,6.99,6.47,6.48,6.44,6.35,6.44,61.2,60.2,59.5,54.4,60.4,54.4,39.2,48.3,53.8,8.6,11.2,7,5.2,3.2,2.4,3.3,9.7,7.7
용산구,3799,0.615951566,3820,0.65,4137,0.685279188,4060,0.723152709,3411,0.74552917,3313,0.788107455,2969,0.692489054,2381,0.696766065,2967,0.705426357,68,83,295,491,115,322,623,422,464,249914,11428,247909,11337,245102,11209,244444,11179,245090,11209,245185,11213,244645,11188,237285,10852,233284,10668,13,13,13,13,13,13,13,13,13,655,664,714,711,701,712,703,719,806,6.72,6.73,6.69,6.93,7.67,6.28,6.3,6.13,6.5,57.6,57.3,54.7,54.6,57.8,55,44.4,52.2,52.6,9.5,4.3,6.2,5.7,2.1,2.1,2.4,6.4,3.6
성동구,3582,0.571747627,3358,0.63222156,3026,0.790482485,2767,0.734007951,2457,0.727309727,2512,0.731687898,2362,0.751058425,2112,0.714962121,2194,0.727894257,110,366,281,942,457,643,485,367,232,303891,18028,305065,18093,307161,18218,312711,18551,316463,18771,308979,18327,300505,17822,292672,17359,288234,17136,16,16,16,16,16,16,16,16,16,613,627,656,651,651,642,627,641,649,6.9,6.83,6.9,6.91,6.89,6.71,6.38,6.28,6.99,64.8,62.7,61.5,65.4,64.6,60.5,58.8,51.7,55.4,9.1,4.4,7.2,5.1,6.1,7.5,4.9,8.5,6.9
광진구,6268,0.563337588,5909,0.627348113,5322,0.622322435,4646,0.707920792,3915,0.71238825,4011,0.702069309,3601,0.697306304,3087,0.713313897,3619,0.690245924,176,95,40,666,460,712,190,738,273,377375,22117,375180,21987,372104,21807,372298,21819,371063,21746,366972,21507,360109,21105,352627,20666,351252,20586,11,11,11,12,13,13,13,13,13,653,647,679,697,712,724,729,745,751,6.74,6.81,6.87,6.82,7.09,6.94,6.38,6.38,6.53,56,63,62.9,61.7,61.5,59.9,52,55.1,58.9,7.5,10.8,9.5,10.2,6.5,6.6,8,7.9,8.4
동대문구,4363,0.660554664,4720,0.679025424,4787,0.756841446,3975,0.823647799,3680,0.806521739,3692,0.763271939,3401,0.724786827,2959,0.714092599,3253,0.685828466,5,72,774,702,201,218,229,229,317,376319,26481,373824,26301,370312,26050,366011,25748,364338,25630,363023,25537,357014,25114,352006,24762,353601,24873,23,23,22,22,21,21,21,21,21,760,758,795,817,823,826,824,837,837,6.82,6.75,6.71,6.68,6.78,6.8,6.44,6.24,6.76,62.8,67.1,64.2,63.4,58.3,59.7,50.4,50.8,54.5,9.7,7.7,8.1,7.9,2.1,8.4,4.5,3.4,3.2
중랑구,5353,0.608817486,5193,0.655690352,5041,0.780599087,4571,0.742069569,4288,0.751399254,4268,0.735238988,3726,0.746376812,3210,0.749221184,3599,0.742150597,104,145,153,170,215,1074,976,507,294,423411,22892,418620,22633,415677,22474,412780,22318,408147,22067,402024,21736,399562,21603,391885,21188,390140,21092,19,19,19,19,18,18,18,18,18,715,721,769,748,767,764,756,776,781,7.04,6.89,6.82,6.97,7.02,6.44,6.55,6.32,6.92,61.8,62.3,62.5,63.5,59.6,57.4,56.5,51.5,57.6,11.3,10.5,7.9,9.9,6,7.7,7.7,4.6,6.2
성북구,4606,0.657403387,4154,0.65695715,3744,0.713675214,3434,0.72189866,3042,0.74852071,2877,0.807438304,2567,0.758472926,2411,0.74118623,2749,0.773008367,229,322,594,811,867,714,253,407,338,475961,19366,469560,19104,461617,18781,455407,18533,447687,18218,454744,18505,447056,18190,440142,17909,441984,17983,26,26,26,26,26,26,26,26,26,923,908,951,977,979,961,937,930,940,6.73,6.83,6.86,6.96,7.04,6.95,6.65,6.19,6.95,59.8,61.2,60.9,63,63.4,59.4,53.8,49.4,56.3,7.7,6,6.9,8,7.3,7.6,8.5,8.8,7.4
강북구,4030,0.696277916,4257,0.73126615,4229,0.785764956,3393,0.832301798,3437,0.798079721,3838,0.787649818,2770,0.815523466,2301,0.830943068,2832,0.827330508,16,68,210,4,375,963,569,298,797,338410,14341,334426,14172,330704,14015,328002,13898,322915,13683,317695,13462,311569,13202,302563,12820,297702,12614,16,16,16,16,15,15,15,15,15,621,617,670,667,672,671,668,679,691,6.53,6.85,6.8,7.11,6.75,7.11,6.57,6.18,6.52,57.5,57.1,59.9,59.4,55.2,57,50.1,53.7,52.2,9.2,7.2,7.5,8.6,5.7,6.4,6.7,5.5,4.5
도봉구,3124,0.635723431,2664,0.713213213,2438,0.791632486,1999,0.826413207,2249,0.745220098,2110,0.709478673,2179,0.683799908,1860,0.695698925,2141,0.732835124,54,27,91,116,183,195,179,592,591,355712,17183,353241,17056,350272,16948,346234,16752,341649,16531,335631,16245,327361,15852,319373,15465,313989,15205,11,11,11,11,10,10,10,10,10,526,529,540,563,578,561,567,567,574,6.66,6.78,6.66,7.22,7.01,6.89,6.48,6.06,6.62,60.3,62.1,59.5,61.3,62.5,57.5,51.9,49.6,50.2,7,9.1,8.6,6.7,6,4.5,5.5,7,7.5
노원구,5312,0.62123494,5130,0.637037037,4543,0.664979089,4209,0.723924923,4007,0.680059895,4153,0.713700939,3743,0.689553834,3425,0.672116788,3896,0.677874743,75,509,329,171,216,324,387,215,144,586056,16538,578221,16317,571212,16119,558075,15748,548160,15468,537303,15162,527032,14872,514946,14530,508014,14335,20,20,20,20,19,18,17,17,17,751,756,798,811,833,809,804,810,824,6.97,6.96,6.97,6.81,6.69,7.22,6.69,6.38,6.59,61.2,59.2,57.8,56.5,55.4,53.2,52.4,49.2,51.9,5.3,3.8,5.4,5.1,6.3,7,4.9,7.4,6.3
은평구,5431,0.612226109,4745,0.66743941,4501,0.744945568,3883,0.825907803,3590,0.797493036,3880,0.773195876,3390,0.74660767,3244,0.746917386,3487,0.762259822,332,329,555,403,635,"1,057",288,471,522,503243,16943,502578,16920,495937,16696,491202,16534,487666,16415,484546,16308,484043,16292,477173,16061,470602,15838,22,22,22,22,22,22,22,22,22,862,855,890,917,945,925,907,926,945,6.63,6.88,6.97,6.96,6.78,6.59,6.52,6.24,7.01,56.5,59.4,58.2,58.1,56.9,54.2,48.5,50.5,52.3,9.2,6.8,7.7,7.6,7.6,8.8,7.6,8.2,3.7
서대문구,4194,0.617072008,4029,0.640109208,3665,0.69686221,3113,0.738515901,2802,0.719486081,2943,0.686374448,2533,0.673509672,2278,0.699736611,2374,0.676074136,114,109,277,416,246,325,441,331,174,320861,18225,323105,18351,325871,18506,325028,18440,323080,18331,323171,18335,322952,18322,315659,17908,319554,18129,13,13,13,13,13,13,12,12,12,641,646,678,682,688,674,681,692,679,6.79,6.92,6.84,6.88,6.84,6.64,6.47,6.1,6.91,59,62.7,57.2,59.3,54.5,56.9,49.3,43.6,52.5,9.9,9.4,5.4,4.5,2.9,6.8,3.9,11.5,10.2
마포구,5740,0.546341463,5854,0.614451657,5873,0.642090925,5278,0.662940508,5172,0.690061872,4842,0.654688145,3688,0.687093275,3540,0.672033898,4096,0.687011719,109,170,458,376,368,494,298,177,117,395830,16607,398351,16706,390887,16394,385783,16174,386359,16199,385925,16180,381858,16011,378686,15878,375585,15745,17,19,18,18,18,16,16,16,16,749,787,853,858,884,883,891,902,924,7.08,7,7.01,7.03,6.95,7.09,6.56,6.29,6.91,61.7,62.6,62.5,61.2,56.6,63.7,59.2,51.5,57.8,8.2,11.6,5.3,6.9,2.6,7.7,6,4.9,10.3
양천구,4642,0.571736321,4528,0.621687279,4112,0.679231518,3882,0.685213807,3515,0.699573257,3214,0.660858743,3216,0.648631841,3015,0.691542289,3169,0.672136321,129,243,423,564,833,311,352,374,292,490708,28196,489010,28098,481845,27681,475018,27289,468145,26894,462285,26559,457781,26301,450487,25882,444010,25509,19,19,18,18,16,17,16,16,16,715,723,759,771,787,773,753,754,764,7.01,7.01,6.96,7.04,7.07,6.93,6.63,6.03,6.46,60,61.8,62.1,60.7,63.4,62.3,57.2,54.4,56.8,5.7,6.7,6.3,6,3.6,6.6,6,6.5,8
강서구,5289,0.609756098,5585,0.750223814,5450,0.751743119,5135,0.764751704,4629,0.749405919,4924,0.719536962,4415,0.768516421,3896,0.781314168,4663,0.770105083,200,192,167,507,259,455,363,441,596,591653,14282,595691,14376,602104,14531,608255,14679,603611,14567,598273,14438,585901,14140,579768,13986,574638,13862,15,14,14,13,13,13,13,13,14,804,828,881,902,944,941,939,946,963,6.62,7.19,6.95,6.89,6.64,6.72,6.31,6.13,6.37,56.6,59.5,64.3,58.2,57.3,57.9,51.9,47.9,51.8,7.6,6,4.6,7.3,3.6,5.6,7.1,8.2,7.2
구로구,5389,0.553906105,5646,0.620262132,5366,0.697726426,4895,0.696220633,4810,0.693970894,4707,0.699171447,4175,0.714730539,3486,0.697360872,3857,0.70832253,160,263,351,559,542,789,652,689,341,457131,22721,454604,22596,449600,22347,441559,21946,438486,21793,439371,21837,432488,21496,421163,20933,418418,20794,19,19,20,18,17,17,18,18,18,712,730,763,749,768,752,737,761,772,7.06,7.18,7.13,7.05,6.73,6.79,6.44,6.29,6.48,61.9,58.9,59.9,58.5,65.8,58.6,51.3,47.2,59.7,6.9,7.8,5.2,6,5.7,5.8,6.1,4.8,7.2
금천구,3842,0.633524206,3781,0.739486908,3645,0.756104252,3265,0.787748851,3293,0.779532341,3105,0.754589372,2598,0.756735951,2439,0.713817138,2577,0.732246799,43,350,132,196,539,366,513,207,304,258030,19818,256167,19675,254654,19560,253491,19469,254021,19510,251820,19341,247835,19035,244891,18808,242818,18649,11,13,13,13,13,13,13,13,13,529,535,563,580,583,575,566,585,600,6.16,7.12,7,7.04,7.13,7.02,6.28,6.19,6.37,60.6,63.8,63,59.7,54.9,57.2,52.3,51.4,55.6,6.9,6.3,4.4,5.1,5.4,7.4,7.7,11.2,11.9
영등포구,7003,0.581465086,6867,0.604922091,6322,0.664188548,5969,0.672139387,5840,0.671575342,5820,0.650687285,5217,0.646156795,4179,0.664513041,4819,0.661133015,295,360,285,422,803,153,1357,329,450,421436,17181,417811,17033,406779,16583,402024,16377,403600,16441,400986,16334,407367,16595,400908,16331,398085,16215,18,17,16,16,16,16,16,16,16,867,904,964,971,980,990,1010,1009,1008,7.27,7.06,7.01,7.11,7.12,6.68,6.76,6.33,6.38,60.3,59.8,62.1,66.8,52,61.8,58,52.5,57.4,9,6.7,6.8,5.3,3.1,8,5.4,7.2,7.6
동작구,3869,0.597570432,4074,0.588365243,3227,0.66935234,3330,0.673273273,3100,0.674193548,3400,0.645588235,3200,0.651875,2631,0.695172938,2735,0.636563071,478,127,255,270,299,311,433,30,373,419261,25637,412774,25240,413247,25269,408493,24978,409385,25032,408912,25003,401572,24555,394364,24113,390432,23870,17,17,17,18,18,18,18,18,18,630,637,672,670,678,674,668,672,687,7.18,7.25,7.17,6.62,6.43,6.71,6.53,6.36,7.11,61.6,61.1,62.3,59.1,60.2,55.4,52.7,45.6,52.8,6.6,10.2,10,7.7,10.6,4.8,5.5,6.2,6
관악구,6781,0.545789707,6345,0.585027581,5678,0.69126453,5525,0.751855204,5026,0.726820533,5328,0.71509009,5261,0.733320661,4444,0.705220522,4879,0.699118672,277,448,607,675,663,889,404,549,135,531960,17991,529031,17891,525607,17776,520929,17617,520040,17587,517334,17496,509803,17241,499449,16891,501226,16951,23,21,21,21,20,20,20,19,19,757,799,849,861,885,918,913,913,945,6.79,7.13,7.3,7.1,6.82,7.14,6.54,6.23,6.73,61.1,63.8,60.5,60.9,61.2,58.2,51,53.4,53.2,8.6,8.6,6.3,7.5,3.8,7,4.8,4.3,8.1
서초구,5558,0.561712846,5444,0.633725202,4989,0.685909,4708,0.687553101,4726,0.673508252,5542,0.676651029,4601,0.663334058,3656,0.667122538,4459,0.694774613,70,559,518,1054,426,344,422,566,876,454288,9665,451258,9601,451477,9610,445401,9480,438163,9326,435107,9261,429025,9132,416167,8858,408451,8696,20,21,21,21,21,21,21,21,21,991,996,1041,1071,1102,1115,1090,1121,1142,7.46,7.04,7.26,6.97,7.2,6.78,6.73,6.38,6.96,61.2,63.3,63.5,60.5,60.2,55.5,52.7,51.1,56.8,10,9.3,8.5,7.9,5,6.5,6.6,5.5,7.1
강남구,8851,0.594509095,8617,0.665196704,8149,0.724628789,7720,0.689248705,7513,0.691601225,7304,0.694003286,7356,0.713023382,6146,0.715424666,6947,0.722614078,573,826,1295,989,744,790,923,514,468,583446,14770,581760,14728,572140,14484,561052,14203,547453,13859,550209,13929,544055,13773,537800,13616,534103,13522,25,25,26,26,25,23,23,23,23,1340,1365,1431,1451,1482,1532,1529,1569,1608,7.36,7.01,7.07,7,6.91,7.01,6.73,6.53,6.35,59.9,60.6,62.3,63.6,62.7,62.1,54.4,52.5,60.2,7.3,8.7,4.4,7.7,5.4,6,9.2,7.3,7.3
송파구,8004,0.497501249,6778,0.60681617,6090,0.666666667,5576,0.694045911,5807,0.697606337,5698,0.666725167,5410,0.655083179,4714,0.692829868,5167,0.659763886,74,183,126,227,526,1050,237,151,431,671794,19831,667480,19704,664946,19629,671173,19813,673507,19883,682741,20156,673926,19896,663965,19599,664514,19616,22,22,22,22,21,21,22,22,22,964,983,1020,1026,1042,1063,1050,1047,1084,6.9,6.83,7.05,7.08,6.8,6.94,6.71,6.45,7.06,63.8,66.8,65.2,66.4,64.4,66.3,57.3,56.5,59.3,9.3,8.6,9.4,7.1,2.8,6.4,7.6,9.1,9.6
강동구,5392,0.609235905,5244,0.604691076,4462,0.733527566,4261,0.76155832,3919,0.711661138,4014,0.736173393,3788,0.702745512,3458,0.711972238,3711,0.712476421,56,174,226,351,379,362,635,301,429,481332,19577,463321,18842,448471,18238,440359,17909,431920,17564,440390,17909,463998,18869,466472,18970,464037,18871,19,18,18,18,17,17,17,17,17,693,700,723,741,763,766,753,768,787,7.39,6.72,6.89,6.83,7.18,6.4,6.48,6.27,6.86,62.2,59.3,62.8,60.3,60.1,56.7,52.1,47.7,54.2,10.4,9.2,8.6,10.8,6.4,6.7,5.8,6.4,7.5
